programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-3540.4311401844025,-1084.0,8220.0,-14168.0,-27.0,-330.0,71.0,0.9995656111090343,-0.0020281456629005117,-0.028742297188763064,0.0061932274062644595
-3540.4467062950134,-1120.0,8336.0,-14252.0,29.0,-272.0,36.0,0.9985802311406122,0.0008874876828586836,-0.05241736189479631,0.009442166740954145
-3540.4622809886932,-1052.0,8328.0,-14260.0,-36.0,-299.0,-54.0,0.9969039710266995,-0.0014265701140676597,-0.0784851516358328,0.004529726438492891
-3540.4778504371643,-1116.0,8240.0,-14308.0,250.0,-287.0,253.0,0.9940691195837572,0.019013979538999505,-0.10328396537702725,0.028239627619029397
-3540.493448495865,-1144.0,7944.0,-14324.0,-11.0,-315.0,244.0,0.9900363302248244,0.016949173747928054,-0.13102259448573142,0.04872237759441334
-3540.509037256241,-1220.0,8264.0,-14332.0,-49.0,-312.0,-255.0,0.986989842967749,0.017264736225832456,-0.1577878960592451,0.02561168910375535
-3540.5246136188507,-1248.0,8228.0,-14232.0,-249.0,-290.0,128.0,0.9824611954443687,-0.0049856478057171884,-0.183509278516611,0.032703019131146926
-3540.5402359962463,-1148.0,8408.0,-14584.0,-5.0,-144.0,-238.0,0.98051638784109,-0.0009001599731307933,-0.196054753077492,0.012220338899036776
-3540.5558388233185,-1288.0,8192.0,-14156.0,-20.0,-278.0,249.0,0.9749452236924134,-0.006284664800902101,-0.21987417817967173,0.033130945617411076
-3540.571437358856,-1168.0,8336.0,-13968.0,50.0,-93.0,-139.0,0.97344090309665,0.0011824940082140634,-0.22785182937306336,0.022247555767942795
-3540.5870122909546,-1240.0,8380.0,-14188.0,-25.0,-68.0,-308.0,0.9722776791246119,0.0055877671030351425,-0.23371944342700504,-0.004484785282608111
-3540.602641582489,-1412.0,7992.0,-14092.0,10.0,-286.0,-108.0,0.9660044911095658,0.008794242582592584,-0.2580152248065623,-0.01364288171782054
-3540.6182284355164,-1588.0,8000.0,-14552.0,-59.0,-294.0,-4.0,0.9590403576229285,0.003817152635700353,-0.28281408805977587,-0.015595300290746123
-3540.6338222026825,-1496.0,8020.0,-14380.0,-124.0,-297.0,-99.0,0.951141345729,-0.004275635316917981,-0.3075345649185875,-0.027098907132920895
-3540.649405002594,-1692.0,7796.0,-14168.0,-145.0,-472.0,167.0,0.937771241965206,-0.021658282867115648,-0.34616001219736175,-0.01700771830098784
-3540.6649775505066,-1820.0,7916.0,-14188.0,-60.0,-530.0,593.0,0.9202183473145491,-0.04495576677919853,-0.3876122941849449,0.03055947800041408
-3540.6805579662323,-1468.0,8256.0,-14520.0,-192.0,-546.0,496.0,0.8975958851829853,-0.07535573683340896,-0.4293165161906436,0.06580629722751616
-3540.696143388748,-1244.0,8136.0,-14184.0,-113.0,-643.0,217.0,0.8698380509602023,-0.08834376216986004,-0.47829056235410644,0.08255472579098187
-3540.7117648124695,-1000.0,8560.0,-13776.0,-251.0,-397.0,-120.0,0.8513149543435582,-0.09930924671259488,-0.5109429309295078,0.06586230607537792
-3540.727345228195,-1000.0,8880.0,-13636.0,178.0,-83.0,-368.0,0.8505813513055933,-0.06902874341310887,-0.5191667021988833,0.047035441125750505
-3540.7429316043854,-1960.0,8240.0,-14024.0,337.0,-25.0,-651.0,0.8522688188883443,-0.014258523442340187,-0.5227223077122387,0.013997995567302347
-3540.7585060596466,-1852.0,8268.0,-14108.0,650.0,-282.0,-297.0,0.83854475225694,0.0480254684389932,-0.54227544474618,0.02176223492417953
-3540.7740592956543,-1792.0,8560.0,-14396.0,720.0,-417.0,-462.0,0.8137067042711524,0.12311869870512492,-0.5677314120519257,0.020105452565479645
-3540.7896246910095,-692.0,8260.0,-14112.0,852.0,610.0,-2442.0,0.8171902888998961,0.29586233792062877,-0.48402018739774666,-0.10193118717690938
-3540.8052060604095,-1724.0,8076.0,-14492.0,741.0,-228.0,-1558.0,0.7655905206412479,0.40801640948530604,-0.4614816039330194,-0.18554916740958413
-3540.820764541626,-828.0,8384.0,-14192.0,1235.0,-694.0,-1318.0,0.662728116253721,0.5251191898637299,-0.47429979849868653,-0.24511422134947597
-3540.8363828659058,-444.0,8648.0,-14264.0,1332.0,-285.0,-1786.0,0.5411635956150608,0.657616113241897,-0.42934822319716137,-0.3005713120426498
-3540.85205245018,-680.0,8508.0,-14384.0,1250.0,227.0,-2427.0,0.40271305633764304,0.7913595264715845,-0.30366973812246023,-0.34548080158888805
-3540.867636203766,-1440.0,8204.0,-14264.0,2449.0,-850.0,-1565.0,0.15830490176177422,0.8637208273637162,-0.2894336729120122,-0.38099086529862514
-3540.8832700252533,-1124.0,8708.0,-14036.0,2695.0,-209.0,-2792.0,-0.13525885116240058,0.913515993174129,-0.16251737827565474,-0.3475365810324428
-3540.8988540172577,-1428.0,8324.0,-14308.0,3090.0,-34.0,-3328.0,-0.44885165500890234,0.8583932379319306,0.008741440907943617,-0.2482273717367977
-3540.9144563674927,-2280.0,8360.0,-14204.0,4709.0,-445.0,-3152.0,-0.7788727099347701,0.5931035731391976,0.14357165718284318,-0.14481930983869581
-3540.9301447868347,988.0,11144.0,-14024.0,4177.0,490.0,-5126.0,-0.9226089210678449,0.21744521147123458,0.27947845244587133,0.15297762383014735
-3540.945727825165,-728.0,4248.0,-15800.0,5778.0,1520.0,-8726.0,-0.7001159820658527,-0.3533439516046983,0.294027595934111,0.5463821339955679
-3540.961361169815,-3076.0,10436.0,-13956.0,8950.0,-1031.0,-6184.0,-0.07437210021442504,-0.7307594170031767,0.42924512783628677,0.5255550260435939
-3540.9769406318665,-804.0,10500.0,-16804.0,10381.0,1438.0,-7763.0,0.5872139976150299,-0.7623226143691624,0.2647637706681203,0.06280205703589814
-3540.992527246475,-1912.0,8384.0,-17504.0,13595.0,1188.0,-6706.0,0.9033020841639277,-0.1367351936359907,-0.027632376635544336,-0.40569111812794734
-3541.0080959796906,-2024.0,12468.0,-17572.0,11435.0,-443.0,-3948.0,0.6178367270445594,0.5215742748529073,-0.3537680196046107,-0.47019808892802023
-3541.0237109661102,-4128.0,11284.0,-14704.0,9589.0,817.0,-6092.0,-0.030809721369872516,0.8937933235399844,-0.30209993806867524,-0.330030124811906
-3541.039315223694,-3548.0,16684.0,-11664.0,4798.0,3407.0,-3358.0,-0.35445342428661597,0.9189767187404547,-0.16148195456254788,0.06138516738739428
-3541.0548977851868,-5884.0,18720.0,-3000.0,7417.0,-799.0,148.0,-0.8056353099143625,0.5796444105345178,-0.09126494361337913,0.08145437264215495
-3541.0704855918884,-5424.0,11976.0,-1348.0,-7433.0,1672.0,3482.0,-0.35597612208971857,0.8578301567223047,-0.35352871239089617,-0.11147139648800855
-3541.0860602855682,-4220.0,15780.0,-7160.0,-6986.0,-816.0,2921.0,0.14199828984130963,0.8134201671084959,-0.39885273193617854,-0.39887418523937757
-3541.101633310318,-4748.0,14636.0,-8448.0,-9700.0,-1885.0,2608.0,0.6387951848840092,0.40047150200999115,-0.20128750798012512,-0.6253372106136154
-3541.1172001361847,-4968.0,10968.0,-11364.0,-10905.0,-2748.0,635.0,0.7176845335245223,-0.2626365650655814,0.1556959638826309,-0.62586716790458
-3541.132794857025,-4844.0,6060.0,-13264.0,-9513.0,-2830.0,-211.0,0.39791576344125684,-0.7678321007349155,0.3729341497681695,-0.33618005625358116
-3541.1483709812164,-2348.0,7980.0,-15104.0,-11471.0,-1849.0,-641.0,-0.23124339656734094,-0.8708837910028773,0.4225851375318369,0.09751777094281254
