programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-142.52202439308167,9388.0,9428.0,9996.0,675.0,265.0,264.0,0.9977316265733748,0.05900455435884416,0.022840834596964624,0.022986086554178803
-142.52983260154724,8996.0,9748.0,9580.0,637.0,760.0,399.0,0.9878421592822971,0.11347171129757451,0.08761675149391124,0.06012773018618588
-142.53762578964233,8728.0,9684.0,9548.0,726.0,721.0,507.0,0.9676836186745403,0.1754864441352164,0.1475751030970005,0.1049500405890079
-142.54539012908936,8772.0,9740.0,9236.0,876.0,755.0,563.0,0.9335244500229872,0.24841996581468542,0.20915775622829857,0.15189685580502807
-142.55322790145874,8716.0,9784.0,9440.0,904.0,735.0,565.0,0.8873769214333636,0.32074115467919156,0.26680717430209877,0.19621733548143686
-142.56104588508606,8796.0,9844.0,9412.0,929.0,986.0,642.0,0.8204408766496921,0.3875551824484484,0.3379717668436736,0.24990564878809782
-142.56883597373962,8912.0,10000.0,9616.0,1108.0,727.0,630.0,0.7417392914225995,0.46588462696445676,0.3894819038336525,0.28474231245847975
-142.57662200927734,8800.0,10096.0,9452.0,1245.0,657.0,635.0,0.6471731216266202,0.5468314437903321,0.43303358673498027,0.3076105256418821
-142.5843608379364,9060.0,10224.0,9604.0,1274.0,669.0,645.0,0.5387177371619991,0.6193777775039813,0.46967150553528286,0.324904671079849
-142.59215569496155,9280.0,10416.0,9724.0,1108.0,804.0,673.0,0.4230730492393531,0.6703359404696503,0.4980111548216801,0.3516302199685936
-142.59993052482605,9256.0,10436.0,9928.0,1048.0,858.0,731.0,0.2993659647416713,0.7080906725203884,0.5143865559719583,0.3799922231825544
-142.60771465301514,9712.0,10428.0,10160.0,1122.0,928.0,720.0,0.16286988986756545,0.731604864547045,0.5260272604805466,0.4018992938249062
-142.61552000045776,9680.0,10440.0,10204.0,1145.0,829.0,777.0,0.024212165155384362,0.7470663107510396,0.5231575767332376,0.4094042602439869
-142.6233081817627,10156.0,10356.0,9944.0,965.0,1061.0,837.0,-0.11585189951104567,0.7416083908165175,0.5000483058243376,0.4319108980940719
-142.63110518455505,9624.0,10304.0,9768.0,846.0,1177.0,921.0,-0.25386275903059785,0.7207580502235492,0.4553180215926384,0.45688842382827544
-142.63889360427856,9460.0,10172.0,9632.0,802.0,1171.0,998.0,-0.386243664637648,0.6880183602149714,0.3940746702634948,0.47132973785991883
-142.64667344093323,9304.0,10196.0,9492.0,771.0,1199.0,990.0,-0.5087019482650628,0.6393500586371222,0.3222659410221027,0.478119748189903
-142.65447163581848,9156.0,10016.0,9296.0,798.0,1188.0,1002.0,-0.6212762364117743,0.575741789265082,0.24413590177880848,0.4721598157684651
-142.66225218772888,9112.0,9824.0,9292.0,889.0,1078.0,1084.0,-0.725004665386968,0.5001370871064229,0.1659705867227872,0.4434917063607014
-142.67002391815186,9352.0,9772.0,9264.0,1020.0,976.0,1122.0,-0.8170445188574879,0.40886933258490704,0.09369779584083933,0.39558165545317825
-142.67779660224915,9288.0,9732.0,8984.0,1032.0,869.0,1225.0,-0.8920755351278858,0.31120333283057655,0.023526818708667033,0.326803020278098
-142.68560242652893,9396.0,9480.0,9068.0,956.0,782.0,1223.0,-0.9437610369399061,0.21434056560714887,-0.04260984724884002,0.24810809742277867
-142.69336938858032,9364.0,9544.0,9060.0,1021.0,703.0,1201.0,-0.9752853494987416,0.10913268122080473,-0.0995181257243008,0.16433103052983633
