programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-3920.8439226150513,4956.0,-1944.0,15740.0,117.0,-73.0,18.0,0.9999255782764246,0.010088921066716893,-0.006677166046315607,0.0015706794254248706
-3920.859539270401,5076.0,-2020.0,15684.0,96.0,-47.0,39.0,0.9997583813649924,0.01830632130308897,-0.011096694595752476,0.004992079711613599
-3920.8751316070557,4976.0,-2096.0,15712.0,117.0,-37.0,-69.0,0.999490846821683,0.028431294187260633,-0.014449029674098227,-0.0009665257314302523
-3920.890723466873,5032.0,-2148.0,15664.0,96.0,-67.0,-36.0,0.9991092434797133,0.03665964240090919,-0.020485168511476887,-0.004141024449165123
-3920.906340122223,5076.0,-2284.0,15712.0,170.0,-57.0,-44.0,0.9983219529024449,0.0513302303625513,-0.025632067267627224,-0.007841105251425323
-3920.922009706497,5056.0,-2020.0,15676.0,123.0,-135.0,254.0,0.9972745550135306,0.0611471060694083,-0.03884974220394301,0.013971072707150475
-3920.937650203705,5052.0,-2024.0,15708.0,109.0,-132.0,-256.0,0.996203363868483,0.07140318745203723,-0.04905295719461452,-0.008616845668303431
-3920.9533421993256,5152.0,-1800.0,15760.0,89.0,-109.0,79.0,0.9951496582601057,0.07846519305214833,-0.059298344503324586,-0.0020192779028487336
-3920.968960762024,5084.0,-1976.0,15824.0,90.0,-82.0,91.0,0.9940475823360414,0.08552150131855961,-0.06724302967617976,0.00581823203897182
-3920.9845724105835,5084.0,-2132.0,15784.0,97.0,-132.0,104.0,0.9923659085982356,0.09310107104319794,-0.07958092723566404,0.014455796170377897
-3921.0001814365387,5036.0,-2136.0,15620.0,90.0,-143.0,159.0,0.9902521398675432,0.09966112195682807,-0.09327340113199256,0.027720622275272742
-3921.015899181366,5080.0,-1916.0,15680.0,108.0,-204.0,124.0,0.9871104212470173,0.10815305476489116,-0.11182210700209019,0.03757325373415987
-3921.0314984321594,5008.0,-1860.0,15620.0,132.0,-161.0,137.0,0.9836343473220696,0.1183787655358587,-0.12661532880467846,0.04917821824929668
-3921.0470955371857,4996.0,-1844.0,15420.0,69.0,-128.0,77.0,0.9811028060750592,0.12367524150911104,-0.13815467261035172,0.05527209951896385
-3921.0626912117004,5036.0,-1844.0,15692.0,107.0,-138.0,64.0,0.9778794349366459,0.1323996336000384,-0.15016748955375964,0.06059598032611767
-3921.0782549381256,5052.0,-2028.0,15764.0,130.0,-81.0,37.0,0.9750670625374007,0.1431119300289553,-0.15682512812549368,0.06456839959682091
-3921.0938613414764,5072.0,-2032.0,15832.0,129.0,-61.0,-25.0,0.9727282790387545,0.1544540658480208,-0.1609727111567463,0.06349348757285996
