programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-8335.517708539963,5148.0,2452.0,15796.0,-237.0,-1684.0,216.0,0.9889551452944547,-0.02031338255833446,-0.14562824789116732,0.01864136531512131
-8335.533333063126,6096.0,2440.0,15584.0,-13.0,-1500.0,362.0,0.9605867727520345,-0.023085559155931395,-0.2721224765544565,0.051860068705684416
-8335.548923492432,5536.0,2488.0,16068.0,-925.0,-1204.0,136.0,0.9214952136993765,-0.09736242997982587,-0.3734876046554057,0.04329131005561207
-8335.564501285553,4972.0,2212.0,15728.0,-1043.0,-1568.0,43.0,0.8500711588780053,-0.17424678795119217,-0.4963435363431563,0.025693883763793612
-8335.580099105835,5044.0,1468.0,15496.0,-1910.0,-1720.0,-358.0,0.7289795952347063,-0.289183333173619,-0.61791433747105,-0.05606800418913441
-8335.595748901367,4904.0,824.0,14764.0,-2151.0,-1364.0,-470.0,0.5841955028139187,-0.39729543799019473,-0.6885843833662662,-0.16347322847570772
-8335.611316204071,4864.0,856.0,14596.0,-2036.0,-1010.0,-179.0,0.4417659937845376,-0.49502628259846526,-0.7033962181694767,-0.25500107163928193
-8335.62690281868,5208.0,868.0,15584.0,-1991.0,-500.0,17.0,0.3203877370217215,-0.574788434201578,-0.6669574049892748,-0.349482150909272
-8335.642517328262,5112.0,812.0,16480.0,-2181.0,-471.0,-350.0,0.1696530938638095,-0.6178512717751473,-0.6191975728765281,-0.4539515386603365
-8335.658149719238,5008.0,668.0,16744.0,-2337.0,-939.0,-973.0,-0.04444514668737983,-0.620055583492386,-0.5771203422910014,-0.5296110014244148
-8335.673737287521,5828.0,520.0,17488.0,-1956.0,-1045.0,-1042.0,-0.24556739671021968,-0.5947935055239432,-0.5270626619949211,-0.5550876415399031
-8335.689357995987,5912.0,1036.0,17456.0,-1557.0,-1767.0,-1591.0,-0.47054756592965846,-0.5569095172376035,-0.48167578127624594,-0.48623576538524127
-8335.704944133759,6044.0,1272.0,18164.0,-1236.0,-1117.0,-2616.0,-0.6647503435351407,-0.42809357531853326,-0.49268449356100213,-0.3634623245199515
-8335.720529794693,6400.0,2156.0,17988.0,-889.0,-676.0,-2955.0,-0.7913341674717549,-0.2610807223244694,-0.5162879280849912,-0.1976711085010277
-8335.736104726791,6380.0,2196.0,17640.0,-640.0,615.0,-3215.0,-0.8005441310308209,-0.058903040420650775,-0.5961071522881332,-0.01777045560033154
-8335.7517080307,5844.0,1872.0,16728.0,-365.0,1407.0,-3258.0,-0.7011655255074724,0.13205759740980014,-0.6783645432448254,0.17535462148007497
-8335.767311573029,4516.0,1452.0,16352.0,-257.0,1558.0,-3037.0,-0.5361330980102401,0.2910531483252472,-0.7114808547268477,0.34877551437143384
-8335.78286767006,3620.0,520.0,16140.0,-109.0,1426.0,-2474.0,-0.35855572348314957,0.3942958061237598,-0.6972440716141803,0.47939473821639866
-8335.798435926437,3184.0,-228.0,15920.0,155.0,563.0,-1893.0,-0.24678077128862808,0.474041848746618,-0.6337478118563429,0.5592381313236567
-8335.81402182579,3144.0,-392.0,15424.0,392.0,-138.0,-1433.0,-0.19902015952251567,0.5469540025305798,-0.5476423702803183,0.6010991012247194
-8335.829614162445,3720.0,-248.0,14984.0,446.0,-396.0,-1305.0,-0.16945632715497985,0.6174959878309025,-0.451451787543044,0.6214294342273082
-8335.84519457817,4148.0,1108.0,14900.0,150.0,-454.0,-1607.0,-0.10711900439105197,0.6957644214922825,-0.34621933955700257,0.6201367249248282
-8335.860783338547,4604.0,2000.0,15340.0,-19.0,-293.0,-2196.0,0.003993444995109141,0.7639487990889322,-0.2072353284991024,0.6110808484885766
-8335.876365184784,4672.0,2188.0,15532.0,-680.0,-254.0,-2743.0,0.1854826798840137,0.8025550281138752,-0.05885794472934956,0.5639479981828274
-8335.891996622086,4632.0,1664.0,16084.0,-827.0,294.0,-2900.0,0.37483846290330725,0.7632618657380583,0.10476144843454732,0.5157058172643004
-8335.907585382462,4376.0,876.0,16300.0,-550.0,494.0,-2710.0,0.5137903808624738,0.6780676577894464,0.26873809594654235,0.45168964099274517
-8335.923297166824,4116.0,348.0,16916.0,-204.0,446.0,-2405.0,0.596750476950125,0.5816317437184563,0.4136068734655581,0.3667734139504557
-8335.938894987106,4220.0,-256.0,16984.0,-110.0,236.0,-2077.0,0.6496328781710984,0.4852578647326862,0.5191617541878351,0.2701351537708831
-8335.954553842545,4248.0,-156.0,16800.0,111.0,137.0,-1711.0,0.6716266030961691,0.40618067759719173,0.595270538357865,0.17201148020793514
-8335.970173597336,4208.0,-156.0,16548.0,331.0,273.0,-1379.0,0.6612689377197449,0.347049073025934,0.659838485948257,0.08302713640944002
-8335.985835552216,4348.0,-32.0,16248.0,492.0,380.0,-1102.0,0.6287316587681234,0.30732819443760595,0.7143102518752988,0.0025973510067341327
-8336.001446008682,4372.0,248.0,16232.0,546.0,525.0,-781.0,0.5790067182141538,0.28716831246741653,0.7607179764538713,-0.059947817953776614
-8336.017053365707,4352.0,552.0,16020.0,467.0,910.0,-517.0,0.5017407777986237,0.2797949227413092,0.813124014170359,-0.09381007771928596
-8336.032704591751,4496.0,948.0,16028.0,456.0,1330.0,-224.0,0.39141998260234645,0.2925037712700517,0.8664184697938869,-0.10271794493853316
-8336.04828286171,4036.0,952.0,15748.0,387.0,1594.0,69.0,0.25899957194614176,0.3219477090092081,0.9063765924965541,-0.08803616853187743
-8336.063890695572,3664.0,888.0,16012.0,487.0,1403.0,168.0,0.13448315574998154,0.35403268317416725,0.921816216922874,-0.08264382785197395
-8336.079457998276,3360.0,580.0,15904.0,120.0,1198.0,273.0,0.03613888695784844,0.38382990383438775,0.9212425649301546,-0.051775692490226635
-8336.095035076141,3252.0,332.0,16124.0,202.0,1020.0,318.0,-0.05099995077366443,0.41279485701584334,0.9088071800969878,-0.03269434884677568
-8336.110654115677,3232.0,304.0,16068.0,230.0,911.0,290.0,-0.13027738330804142,0.43577337482118017,0.8903682960706663,-0.019330456476434357
-8336.126213312149,3552.0,428.0,15820.0,319.0,660.0,409.0,-0.19254045518649388,0.46380055327533704,0.8644422030848325,-0.023598674198151422
-8336.141845226288,3404.0,732.0,15656.0,418.0,242.0,528.0,-0.22624168118701798,0.4961429444388489,0.836498417211564,-0.05410432866018102
-8336.157439231873,3740.0,624.0,15572.0,408.0,209.0,542.0,-0.25617377505801536,0.5276279857255806,0.8054152698115263,-0.0853811970290755
-8336.173030614853,3856.0,824.0,15804.0,353.0,105.0,600.0,-0.27487939548551565,0.5616292187567432,0.7713354429731972,-0.11855620181816318
-8336.188687801361,3924.0,980.0,15844.0,312.0,-3.0,599.0,-0.28333977869427573,0.5933985549000644,0.7375203320410482,-0.15381964984375723
-8336.204273939133,3968.0,936.0,16092.0,219.0,-55.0,551.0,-0.2834199243173843,0.6218606557571769,0.7064341596022798,-0.1841555034969168
-8336.219903945923,4056.0,600.0,16296.0,199.0,47.0,562.0,-0.2877532700135483,0.6514437001310809,0.6706403513634596,-0.2075106750968052
-8336.235480308533,4016.0,412.0,16192.0,117.0,131.0,560.0,-0.2916086443593949,0.6827453584339772,0.6325446134836752,-0.220704521984765
-8336.251123666763,3948.0,356.0,16236.0,155.0,160.0,717.0,-0.2952931231737157,0.7199063032521394,0.5814948539606593,-0.23748814867572424
-8336.266689300537,4088.0,184.0,16156.0,224.0,202.0,911.0,-0.2997475513023735,0.7618702388187566,0.5125891618043369,-0.25876146523624605
-8336.282216787338,3828.0,232.0,15932.0,331.0,209.0,1021.0,-0.30671484431884827,0.7999531684752753,0.4297788267870112,-0.2851159282930592
