programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-7821.328503847122,1532.0,-3972.0,15552.0,-66.0,4.0,-750.0,0.997846700169795,-0.006054413465493571,0.00022981599308060077,-0.06530891380546343
-7821.344113588333,1400.0,-4256.0,15572.0,-68.0,-238.0,-779.0,0.9908522388784495,-0.013631536900176317,-0.020552957384009727,-0.13267855084403882
-7821.359752416611,1304.0,-4572.0,15732.0,-70.0,-452.0,-861.0,0.9764552800263663,-0.02361774457303726,-0.05963710400764198,-0.20596287062355462
-7821.37535405159,1284.0,-4804.0,15912.0,-23.0,-461.0,-748.0,0.9577594104255005,-0.030188820343734914,-0.0996358933678681,-0.2680638648166481
-7821.390955448151,1032.0,-4528.0,15844.0,-13.0,-353.0,-605.0,0.9387793040051899,-0.03444909908983205,-0.12996729837563023,-0.3171989585360742
-7821.406644821167,1704.0,-5048.0,15820.0,-79.0,-264.0,-428.0,0.9228258247636721,-0.0435642677183428,-0.1503223785156297,-0.3519912417160641
-7821.422247171402,1800.0,-5040.0,15980.0,-117.0,-238.0,-217.0,0.9122289413783556,-0.05762639032842308,-0.16639722011236444,-0.3699047482640876
-7821.437851905823,1752.0,-4992.0,16024.0,-61.0,-168.0,-50.0,0.9078006162286303,-0.06733720407002033,-0.17776184652483462,-0.3738508633707202
-7821.453502655029,1648.0,-4964.0,15748.0,62.0,-189.0,164.0,0.9104109473552982,-0.07126252893977424,-0.19346854898381277,-0.35866903889077806
-7821.469131946564,1644.0,-4832.0,15700.0,126.0,-239.0,166.0,0.9120710242510447,-0.07163595798895266,-0.21500792313754413,-0.34171088544665223
-7821.484730482101,1556.0,-4672.0,15976.0,255.0,-339.0,186.0,0.9121813149756909,-0.06499195068898327,-0.24795265786556506,-0.3197198373768229
-7821.500322818756,1552.0,-4520.0,16220.0,334.0,-284.0,151.0,0.911480916719932,-0.04964712263169897,-0.27852555292227166,-0.29859875759809945
-7821.515955209732,1660.0,-4504.0,16188.0,388.0,-114.0,79.0,0.9119477732275791,-0.023755109176150722,-0.29691076408990336,-0.28218956724308414
-7821.531552553177,1860.0,-4356.0,16168.0,402.0,106.0,13.0,0.9153329778015171,0.010396300523754442,-0.2979013293437997,-0.2707623582768181
-7821.54713845253,1912.0,-4388.0,16024.0,395.0,187.0,-29.0,0.918567472024876,0.04695257171802735,-0.2918211039936941,-0.2624303690710998
-7821.562774658203,1848.0,-4560.0,15840.0,346.0,145.0,-9.0,0.9202300476097496,0.07803442151170391,-0.2877123893448634,-0.2535919351102504
-7821.57839179039,1724.0,-4788.0,15348.0,9.0,-199.0,121.0,0.9177452569530459,0.07111344757776208,-0.30445631668890255,-0.2449344241669985
-7821.594020605087,1604.0,-5024.0,14964.0,163.0,-657.0,411.0,0.905994572573195,0.058885369164097076,-0.36205719865355385,-0.2112366745370284
-7821.609627008438,1640.0,-4956.0,15344.0,47.0,-1007.0,669.0,0.8814697971895975,0.022626065477819986,-0.44333189299981196,-0.1611083190053403
-7821.625240325928,1852.0,-5120.0,15824.0,-118.0,-1037.0,767.0,0.8470788353482994,-0.030619332825152983,-0.5194770486424771,-0.1079976809751605
-7821.640869617462,2124.0,-4784.0,16324.0,-130.0,-966.0,858.0,0.8059763330617453,-0.08773495347305638,-0.5834762310069067,-0.04754173254518626
-7821.656503200531,2288.0,-4684.0,16160.0,-114.0,-735.0,1011.0,0.7673908691448514,-0.14942737799489997,-0.6230890727932645,0.02329635216741757
